status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
5550296508_10158379885251509,C.J. Harris is a standout strong safety and helped lead Warner Robins High School to the Georgia state championship game. He also takes cannabis oil to prevent his seizures.,Cannabis oil stopped his seizures but may keep him from his dream,link,https://cnn.it/2IL6L88,2018-05-25 18:50:08,660,114,211,321,7,55,9,214,54,0
5550296508_10158379784871509,"""I can say this, the man who pinned me down had handcuffs on him today""",Rose McGowan's message to Harvey Weinstein: 'We got you',link,https://cnn.it/2IK3beq,2018-05-25 18:31:10,2327,269,93,1981,252,12,67,6,9,0
5550296508_10158379334986509,"This hair-raising footage shows lava moving through Leilani Estates in Pahoa, Hawaii. For more than three weeks, smoldering lava flows from the Kilauea volcano have spread into residential areas and forced thousands of residents from their homes https://cnn.it/2ILCMZH",Video shows lava hitting residential area in Hawaii,video,https://www.facebook.com/cnn/videos/10158379334986509/,2018-05-25 18:16:16,10949,825,5726,3430,66,3828,25,3581,19,0
5550296508_10158379650376509,"BREAKING: Ireland has voted overwhelmingly to overturn a constitutional ban on abortion, an exit poll from a national broadcaster suggests.","Irish voters show landslide support for liberalizing abortion laws, exit poll shows",link,https://cnn.it/2KSpGdW,2018-05-25 18:03:11,16214,580,1672,12456,3251,248,16,160,84,-1
5550296508_10158379579441509,"Overcoming a challenging childhood and two years of homelessness, Richard Jenkins excelled in his classes and developed a strong interest in technology. He recently checked his Ivy League applications — UPenn: waitlisted; Yale: denied. Then he checked Harvard. https://cnn.it/2GRPwfo",He slept in homeless shelters as a kid. Now he's going to Harvard on a full ride,video,https://www.facebook.com/cnn/videos/10158379579441509/,2018-05-25 17:31:14,4977,274,634,3636,1262,74,4,0,1,0
5550296508_10158379509976509,"Security costs for Environmental Protection Agency Administrator Scott Pruitt tally up to nearly $3.5 million for the past year, according to figures the agency released Friday",EPA spent nearly $3.5M on Scott Pruitt's security,link,https://cnn.it/2GQ4bI0,2018-05-25 17:00:16,2345,720,634,303,10,247,54,31,1700,0
5550296508_10158379427696509,"Although hurricane season doesn't begin until June 1, a tropical system off the Yucatan Peninsula has become Subtropical Storm Alberto",Subtropical Storm Alberto eyes Gulf Coast for Memorial Day weekend,link,https://cnn.it/2KR1kRF,2018-05-25 16:32:04,514,68,286,320,7,122,3,58,4,0
5550296508_10158379313901509,Visa is suspending its marketing campaign with Morgan Freeman following a CNN investigation that uncovered a pattern of alleged harassment and inappropriate behavior by the actor,Visa suspends Morgan Freeman campaign after accusations of inappropriate behavior,link,https://cnn.it/2GOPwgv,2018-05-25 16:00:17,1704,1010,413,742,14,282,88,438,140,0
5550296508_10158379239906509,"""They destroyed my door, door frame, carpet on my stairs blew my ceiling out and burned my living room floor and hallway. All because someone got the wrong house,"" Renck wrote on the Facebook post","SWAT team raids house looking for murder suspect. But it's the wrong house, and the DEA has now apologized",link,https://cnn.it/2IJYSzH,2018-05-25 15:32:06,3506,380,424,912,10,906,89,148,1441,0
5550296508_10158379129391509,This will likely be the most expensive summer at the gas pump in years. Filling up the tank will cost 14% more than last summer. https://cnn.it/2KWHkxc,This will likely be the most expensive summer at the gas pump in years,video,https://www.facebook.com/cnn/videos/10158379129391509/,2018-05-25 15:00:57,1084,503,666,369,9,54,26,125,501,0
5550296508_10158379125021509,"A tropical system off the Yucatan Peninsula has become Subtropical Storm Alberto. Here is the forecast for its path, heavy rainfall and gusty winds through the Memorial Day weekend. (no audio) https://cnn.it/2IRehul",CNN Weather,video,https://www.facebook.com/cnnweather/videos/1831026310268404/,2018-05-25 14:57:58,1319,105,926,778,10,394,4,129,4,0
5550296508_10158379046486509,"""You know, this has really taken the assault on the rule of law to a new level,"" the former acting attorney general says",Sally Yates says Trump's DOJ pressure is 'a step beyond dangerous',link,https://cnn.it/2KVxBXM,2018-05-25 14:29:07,2609,590,778,1969,44,79,136,97,284,0
5550296508_10158379009971509,"President Donald Trump heralded more than 1,000 newly commissioned US Navy and Marine Corps officers, staying after his address to shake the hands of many of the graduates https://cnn.it/2IM0byi",Trump heralds US military in Naval Academy commencement address,video,https://www.facebook.com/cnn/videos/10158379009971509/,2018-05-25 14:16:36,4707,2115,962,2836,349,44,775,59,644,0
5550296508_10158378959911509,Watch footage of North Korean officials blow up what they say is a nuclear test site https://cnn.it/2IHsn5c,The day we saw North Korea's nuclear tunnels go up in smoke,video,https://www.facebook.com/cnn/videos/10158378959911509/,2018-05-25 14:01:41,4388,625,1671,3453,82,446,351,27,29,0
5550296508_10158378861271509,Get ready for sticker shock,Gas prices are up 31% from last Memorial Day. Here's why,link,https://cnn.it/2ILCwhu,2018-05-25 13:28:08,2503,862,1079,870,14,258,77,125,1159,0
5550296508_10158378772091509,"What Trump is doing is destructive to the very country he had pledged to make great again, writes Chris Cillizza. There's just no other way to see it.","Donald Trump is alleging a massive government conspiracy, with zero evidence | Analysis",link,https://cnn.it/2KUcuVX,2018-05-25 13:01:10,5797,2035,1704,2872,39,136,772,223,1756,-1
5550296508_10158378696766509,"NBA coach Steve Kerr slams NFL over new policy, saying the league is ""basically trying to use the anthem as fake patriotism... scaring people. It's idiotic, but that's how the NFL has handled their business."" https://cnn.it/2IMPcEM",Steve Kerr on NFL Anthem Policy: 'Idiotic' and 'Typical' of the NFL,video,https://www.facebook.com/cnn/videos/10158378696766509/,2018-05-25 12:32:45,18417,1602,3722,14430,3499,59,138,42,249,0
5550296508_10158378609991509,"It includes golden poppies and two golden rays across the shield, symbolic of her home state, California",Meghan Markle's coat of arms has been unveiled,link,https://cnn.it/2IILV9v,2018-05-25 12:00:21,5782,260,520,4736,894,58,85,1,8,0
